Date,Tweet,Sentiment
10/30/2022,"#MarketsWithMC | #SBI Cards, #MarutiSuzuki, #AxisBank, #KPIT Tech, and #UnionBankOfIndia: here are 10 stocks that moved the most this past week👇

https://t.co/I0buP1FgYi

#Markets #Stocks #Trading #KPITTech #Delhivery #RBLBank #LaurusLabs #StockMarket",Positive
10/28/2022,"#MCExclusive: Post 9 year investment, Carlyle to make full exit from Medanta; strikes Pre-IPO Deal With RJ Corp, SBI MF &amp; Novo Holdings, reports @ashwinmohansays

Read here 👇
https://t.co/JNhixuCcAf

#Medanta #MedantaIPO",Positive
10/28/2022,"The share price of SBI Card opened 5% lower on October 28, despite the company reporting a 52% jump in net profit to Rs 526 crore for the quarter ended September.

Read at 👇
https://t.co/QfDvggLUbQ

#SBICards #Share",Neutral
10/21/2022,"The State Bank of India announced that it has revised the #InterestRates of #retail term deposits, i.e., deposits below Rs 2 crore, upward, up to 80 bps.

Know more⤵️
https://t.co/JzAviGbanX

#Banks #SBI #RateHike #Inflation #StateBankOfInfia #Deposit",Neutral
10/21/2022,"#EarningsWithMC | SBI Life Insurance Company today said it clocked a strong 53 percent year-on-year growth in profit at Rs 376.74 crore for the quarter ended September 30 of FY23.

Read on  👇

https://t.co/e2Ol6hdWGO

#SBILifeInsurance #Q2Result #Q2Earnings",Positive
10/19/2022,"At a time when interest rates on home loans are rising in line with the RBI's policy rates, lenders such as HDFC, SBI and Bank of Maharashtra are clearly the outliers.  

Here's what they are doing 👇
https://t.co/Jey50onr3v

by @siddhiVnayak | #SBI #HDFC #RBI #HomeLoans",Positive
10/18/2022,"At a time when interest rates on home loans are rising in line with the RBI's policy rates, lenders such as HDFC, SBI and Bank of Maharashtra are clearly the outliers.  

Here's what they are doing 👇
https://t.co/2tpxr2VAXT

by @siddhiVnayak | #SBI #HDFC #RBI #HomeLoans",Positive
10/17/2022,"#MarketsWithMC | Closing Bell🔔 #Nifty ends above 17,300 led by SBI, Bajaj Finserv; metals, realty close in the red.

Read on👇
https://t.co/AIJ3jxDFkT

#Stocks #StockMarket #Markets #Trading https://t.co/wNxL7lsayS",Neutral
10/6/2022,"SBI Cards and Payment Services Limited (SBI Card) on October 6 informed the stock exchanges that it has appointed Rashmi Mohanty as the company's Chief Financial Officer (CFO) with effect from October 21.

Read here 👇

https://t.co/FKj7ByS5ZY

#SBICards #RashmiMohanty",Negative
10/4/2022,"Top banks, including #SBI, #HDFCBank, #IndusIndBank and #YesBank, have reported a double-digit increase in loan growth for the second quarter on a year-on-year basis. Deposit growth has also been strong. 

@siddhiVnayak tells us more 👇
https://t.co/JsessXO4WW

#Banks #Earnings",Positive
9/30/2022,"Host of lenders led by State Bank of India (SBI) and Bank of India hiked lending rates after the Reserve Bank raised the benchmark interest rate to tame inflation.

Read here 👇

https://t.co/f7nStGSLfn

#SBI #BoI #LendingRate #Inflation",Negative
9/30/2022,"You don't have to wait for deals and sales anymore. As a default benefit, CASHBACK SBI Card offers 5% Cashback on all online shopping. 

https://t.co/v1Q6WrCuGx

#Cashback #SBI #OnlineShopping #CreditCard #CashbackCard #PureBanking 
#Partnered @SBICard_Connect",Positive
9/29/2022,"#MCExplains: With the SBI filing an insolvency plea against Jaiprakash Associates, the wait for thousands of homebuyers invested with the group for more than a decade may only get longer

Read in detail 👇

https://t.co/N854mAl6jt

by @vandanaramnani1| #realestate #Jaypee #SBI",Positive
9/28/2022,"India needs 'fewer' but stronger Public Sector Banks (PSBs), and the smaller ones could be privatised or merged, former SBI chief Arundhati Bhattacharya has said.

Read here 👇

https://t.co/UxluteDhDJ

#PSBs #PublicSectorBank",Neutral
9/27/2022,"The country’s largest lender State Bank of India (SBI) has taken construction firm Jaiprakash Associates to bankruptcy court for defaulting on a loan payment of Rs 6,893 crore. 

Read at 👇

https://t.co/jJzsoTFJXM

#SBI #JaiprakashAssociates",Negative
9/26/2022,"Our specially curated package of the most interesting articles of the day will help you stay at the top of your game. 🗞 

Here are the top news of this evening 👇
https://t.co/8QfceVBiKX

#Byjus’ #CrudeOil #Nifty #RBI #SBI",Positive
9/26/2022,"SBI-led lenders have agreed to withdraw the petition against #OCTL, #India’s lone manufacturer of import substitute range of products for oil and gas drilling operations, more than two-and-a-half years.

Read more 👇
https://t.co/WohDCAZpEv

by @cr_sukumar | #SBI",Positive
9/22/2022,"SBI Card has rallied substantially in last three months but Santo believes the best is over. CJ, however, sees more gains. Catch the duo live as they discuss what lies ahead for the credit card company. Also hear out their thoughts on Infosys &amp; GNFC. #LIVE https://t.co/VMKAJ6oL2H",Positive
9/16/2022,"#MCExplains | India’s #bankingsector is witnessing the fastest pace of credit growth in nearly a decade, and business correspondents are a part of the core process of credit delivery to remote and unbanked areas.

Here's all about BCs 👇
https://t.co/Cck76YATCw

#Banks #BC #SBI https://t.co/JVavievEU3",Neutral
9/16/2022,"#Exclusive: Save Solutions, the largest business correspondent (BC) partner of State Bank of India (SBI), plans to go public in fiscal 2025, its top official said.

Read more 👇
https://t.co/BzQPzBKJ58

by @PiyushS_07 |  #SBI #IPO #SaveSolutions",Positive
9/16/2022,"#Exclusive: Save Solutions, the largest business correspondent (BC) partner of State Bank of India (SBI), plans to go public in fiscal 2025, its top official said.

Read more 👇
https://t.co/4NsdUKns4b

#SBI #IPO #SaveSolutions",Positive
9/15/2022,"SBI clarified that it has not been identified as the nodal bank for handling Russia-related transactions after news reports suggested so.

Read on ⏬
https://t.co/e8WIZ7HYtY

#SBI",Neutral
9/15/2022,"#MCPersonalFinance | DP Singh, Deputy MD &amp; Chief Business Officer of SBI MF, tells us how investors should invest their Rs 10 lakh today

Read the excerpts here 👇
https://t.co/0iIO2yH7YZ

By @jashkriplani | #MutualFunds #Investing https://t.co/Vhdmep3Tw6",Neutral
