date,open,high,low,close,volume,Sentiment
11/1/2017,309.4,321.45,309.4,319.85,34907283,0
11/2/2017,320,323.15,313.55,314.35,23110527,0
11/3/2017,315.45,327.5,312.6,325,26898400,0
11/6/2017,323.6,330,321.45,329,17143407,1
11/7/2017,328.95,331.7,315.5,317.2,21883541,0
11/8/2017,318,319.3,306.65,309.55,20242447,0
11/9/2017,313.15,318,308.2,313.7,21846178,-1
11/10/2017,315,338.5,309.5,333.55,82984969,1
11/13/2017,336.75,344.8,329.75,331.05,38777555,0
11/14/2017,330.35,334.7,327.5,329.1,25647162,-1
11/15/2017,328,331.15,322.25,324.95,17389606,0
11/16/2017,327.4,334.2,323.65,333.4,22506014,0
11/17/2017,345,346.7,336,337.5,26518142,0
11/20/2017,337.1,337.15,331.25,333,13507662,0
11/21/2017,335,335.4,330,330.65,14189920,0
11/22/2017,330.85,339.65,327,335.3,22861716,0
11/23/2017,335.5,336.65,331.65,334.95,13338423,0
11/24/2017,336,337,331.5,332.4,11716981,0
11/27/2017,329.9,337,328.05,335.65,13114683,0
11/28/2017,336,336.7,331.2,332,16054996,0
11/29/2017,332.35,334.85,327.2,328.9,11264624,0
11/30/2017,325.8,326.5,318.5,320.35,27276288,1
12/1/2017,321.5,322.3,311.25,312.75,16425620,0
12/4/2017,314.7,315.95,311.15,313.6,13887727,0
12/5/2017,312.5,320.7,308.8,319.1,15130931,0
12/6/2017,316.7,317.4,311.5,312.4,18658202,0
12/7/2017,312.5,317.75,312.45,316.4,12278558,0
12/8/2017,316.6,318.85,312.1,313.1,16418832,0
12/11/2017,315.95,319.3,315.1,318.4,14014369,0
12/12/2017,317.75,320.5,314.65,318.45,17658856,0
12/13/2017,316.15,318.95,311.15,313.3,17540585,1
12/14/2017,314.3,315.4,309.5,314,13894451,0
12/15/2017,318.4,319.35,311.5,312.25,16050711,0
12/18/2017,308,323.5,300.4,318.9,32119915,1
12/19/2017,319.45,322.25,318.4,319.8,14741481,0
12/20/2017,319,319,316.5,317.5,9895770,0
12/21/2017,316.6,318.2,315.4,316.75,9916409,0
12/22/2017,317.1,323.85,316.5,319.85,13821639,0
12/26/2017,318.6,319.95,316.3,317.15,9329690,0
12/27/2017,316.5,320.3,313.05,314.85,14276027,1
12/28/2017,315.3,316.5,307.65,308.4,20353152,0
12/29/2017,310,312,309.05,309.9,11939569,0
1/1/2018,310.6,312.75,306.3,307.1,12182400,-1
1/2/2018,309,309,301.35,303.25,14797364,0
1/3/2018,305.3,306.45,302.15,302.85,13857373,0
1/4/2018,304.5,310.2,303.15,308.5,24517099,0
1/5/2018,311.4,311.4,305.6,306.35,14580575,0
1/8/2018,307.2,309.5,305,305.8,13557197,0
1/9/2018,307.5,309.5,303.3,304.3,15574755,0
1/10/2018,304.65,305.85,300,301.1,13064599,0
1/11/2018,300.9,303,300,302.2,12299087,0
1/12/2018,304.65,304.65,300.55,302.25,17594228,0
1/15/2018,303.95,305.25,301.55,302.6,18189668,0
1/16/2018,302.4,303.35,295.3,296.15,18040940,0
1/17/2018,296,308.4,292.6,307.1,26277307,0
1/18/2018,315,317.8,300.5,303.25,40000111,0
1/19/2018,303.95,310,302.5,309.25,18461642,0
1/22/2018,308.35,308.75,304.05,306.5,12622645,0
1/23/2018,306.4,320.55,306.35,318.1,35252217,0
1/24/2018,317.7,331.6,316.2,329.9,38070520,0
1/25/2018,332.75,332.75,311.85,313.15,42466150,1
1/29/2018,313.15,316.9,311,312.1,23600898,1
1/30/2018,312.05,318.85,311,313.55,25810404,0
1/31/2018,313,316.6,307.85,313.25,16409938,1
2/1/2018,316.9,317.4,305,306.05,19515991,0
